X;Y;Z
-0.612018;0.377417;2.86445
-0.612296;0.377524;2.86573
-0.612038;0.377414;2.8643
-0.612077;0.377397;2.86463
-0.612265;0.377513;2.86552
-0.611987;0.377346;2.86413
-0.612624;0.377778;2.86743
-0.611889;0.377254;2.86353
-0.611728;0.377184;2.86311
-0.611477;0.37704;2.86193
-0.611833;0.377218;2.8636
-0.611776;0.377197;2.86308
-0.611508;0.377027;2.8618
-0.610974;0.376759;2.85951
-0.611346;0.37693;2.86117
-0.611735;0.377168;2.86299
-0.611564;0.377077;2.86229
-0.611741;0.377157;2.86306
-0.611774;0.377225;2.86333
-0.611491;0.377026;2.86193
-0.61114;0.376843;2.86029
-0.611399;0.377003;2.86164
-0.611832;0.377286;2.86369
-0.611191;0.376867;2.86058
-0.611185;0.37684;2.86048
-0.612049;0.377402;2.86457
-0.611285;0.37688;2.8609
-0.611512;0.377002;2.86183
-0.611509;0.377066;2.86222
-0.611095;0.376799;2.85993
-0.611386;0.377014;2.86173
-0.61144;0.377021;2.86175
-0.611549;0.377129;2.86236
-0.611204;0.37689;2.86066
-0.611026;0.376732;2.85965
-0.611545;0.377069;2.86224
-0.612072;0.377373;2.86459
-0.611469;0.377055;2.86191
-0.611424;0.377003;2.86161
-0.611962;0.377337;2.86431
-0.612295;0.377535;2.86558
-0.611455;0.377021;2.86188
-0.611548;0.377101;2.86214
-0.610704;0.37654;2.85816
-0.611125;0.376827;2.86041
-0.611601;0.377078;2.8623
-0.611567;0.377112;2.8625
-0.610978;0.37672;2.85944
-0.61141;0.376988;2.86163
-0.611685;0.377155;2.8628
-0.611322;0.376926;2.861
-0.611459;0.377033;2.86186
-0.612103;0.377377;2.8646
-0.611049;0.376746;2.85979
-0.611477;0.377025;2.8618
-0.611279;0.376946;2.86095
-0.61223;0.377432;2.86523
-0.611083;0.376819;2.8601
-0.611804;0.377218;2.8634
-0.611176;0.376843;2.86039
-0.610976;0.376744;2.8595
-0.61109;0.376781;2.86005
-0.611094;0.376774;2.85986
-0.611374;0.376964;2.86133
-0.61171;0.377151;2.86275
-0.611389;0.376964;2.86146
-0.612099;0.377414;2.86467
-0.611825;0.377227;2.86344
-0.612525;0.377635;2.86655
-0.611813;0.37723;2.86338
-0.611669;0.377137;2.86276
-0.611364;0.37696;2.86128
-0.611623;0.377117;2.86261
-0.611269;0.376921;2.86089
-0.611567;0.37704;2.86215
-0.611574;0.377094;2.8622
-0.611976;0.3773;2.864
-0.611319;0.376914;2.86105
-0.612095;0.37738;2.8645
-0.611825;0.377222;2.8633
-0.610985;0.3767;2.8594
-0.611968;0.377308;2.86405
-0.611429;0.377002;2.86137
-0.611725;0.377185;2.86277
-0.61134;0.376972;2.86116
-0.612025;0.377336;2.86419
-0.61185;0.377225;2.86341
-0.611395;0.376968;2.86122
-0.612318;0.3775;2.86556
-0.612001;0.377324;2.86408
-0.611535;0.377028;2.8618
-0.611791;0.377185;2.86313
-0.611343;0.376961;2.86131
-0.611272;0.376836;2.86056
-0.611727;0.377172;2.8629
-0.611507;0.377019;2.86187
-0.611775;0.377152;2.86286
-0.611817;0.377205;2.86338
-0.610889;0.376635;2.85902
-0.611452;0.376968;2.86146